Date,Year,Month,Astore,Bunji,Chilas,Dainyour,Gilgit,Hunza,Khunjrab,Ramma,Shigar,Skardu,Ziarat
2004-05,2004,05,39.2,18.2,10.3,18.34,13.3,23.53,18.34,26.52,4.1,5.4,36.45
2004-06,2004,06,49.5,13,5.4,16.12,14.8,20.56,16.12,32.15,9.8,9.8,24.45
2004-07,2004,07,20.4,6.6,11.4,5.24,4.8,4.34,5.24,12.6,3.4,3.4,12.7
2004-08,2004,08,34.9,19.9,13.4,14.12,10.4,12.08,14.12,22.65,15.6,15.6,30.05
2004-09,2004,09,6.9,0,0,4.9,2.3,12.4,4.9,4.6,4,4,13.8
2004-10,2004,10,26.3,5,5.5,6.09,6.5,6.78,6.09,16.4,3.5,3.5,53.95
2004-11,2004,11,11.3,0,0,0,0,0,0,5.65,1.9,1.9,0.95
2004-12,2004,12,12.6,7.1,8.6,17.67,36.5,9.43,17.67,24.55,22.6,22.6,14.75
2005-01,2005,01,52.2,34.5,29.3,15.51,11.2,0.84,15.51,31.85,38.2,39.2,33.15
2005-02,2005,02,111.2,5,35.3,7.21,14.1,2.54,7.21,62.65,46,46,38.65
2005-03,2005,03,27.6,3,16.4,7.04,12.4,5.72,7.04,20,15,13.5,20.15
2005-04,2005,04,86.5,50.9,36.7,47.44,58.9,32.54,47.44,72.7,37.9,59,191.2
2005-05,2005,05,105.7,32.9,41.1,40.27,32.6,55.33,40.27,69.15,42.5,43.5,43
2005-06,2005,06,5.1,2.5,4.2,4.94,2.7,9.64,4.94,3.9,3.5,3.5,20.7
2005-07,2005,07,17.4,11.4,11.9,30.25,9.3,70.06,30.25,13.35,22.7,22.7,16.15
2005-08,2005,08,2.2,3.9,2.9,14.29,2.1,36.88,14.29,2.15,1.4,1.4,13.1
2005-09,2005,09,3.6,4,7.2,9.66,2.1,22.89,9.66,2.85,2.9,2.9,18.1
2005-10,2005,10,0,1.3,0,2.69,0,6.78,2.69,0,0.3,0.3,8.65
2005-11,2005,11,14.7,4.7,9.3,2.9,4,0,2.9,15.7,0.6,0.6,0.3
2005-12,2005,12,32,2.2,8.5,1.04,0.4,53,1.04,16.2,7,8.1,3.5
2006-01,2006,01,118.4,7.7,36.9,9.85,15.4,6.46,9.85,66.9,63.1,63.1,42.6
2006-02,2006,02,58.4,16,12.1,8.32,6,2.98,8.32,32.2,55.6,55.6,29.1
2006-03,2006,03,10,8,19.9,4.28,2.1,2.75,4.28,6.05,16.7,16.7,9.6
2006-04,2006,04,36.6,46.9,32.9,27.96,23,13.99,27.96,29.8,145.2,145.2,72.95
2006-05,2006,05,0.2,0,1.1,9.05,1.5,25.65,9.05,0.85,2.1,2.1,1.55
2006-06,2006,06,18,14.4,16.3,13.3,11.1,14.41,13.3,14.55,4.5,4.5,7.95
2006-07,2006,07,10,15.6,15.8,15.03,8.1,21.41,15.03,9.05,8.2,8.2,8.05
2006-08,2006,08,21.3,68.9,29.4,46.84,39,32.64,46.84,30.15,14.6,14.6,15.1
2006-09,2006,09,13.6,4.5,5.8,28.57,11.9,69.32,28.57,27.65,17.7,17.7,11.5
2006-10,2006,10,13.1,9.3,1.4,11.57,4.7,19.71,11.52,9.4,2.6,2.6,3.55
2006-11,2006,11,28.3,0.7,2.2,7.48,4,4.8,7.45,16.15,2,1,0.5
2006-12,2006,12,18,8.2,25.8,9.53,5.8,0,9.53,11.9,19.4,19.4,14.5
2007-01,2007,01,0.3,0,0,0.14,0,42,0.14,0.15,0,0,20.05
2007-02,2007,02,0,1.2,1.2,2.81,1.3,5.93,2.82,0.65,4.8,4.8,52.1
2007-03,2007,03,92.2,14.4,32.7,10.18,11.9,4.24,10.18,52.05,55.6,55.6,33.1
2007-04,2007,04,53.3,4.1,30.4,15.47,15.2,27.13,15.47,34.25,3,3,6.05
2007-05,2007,05,19.1,3.5,8,17.18,12,36.04,17.18,15.55,0,0,9.55
2007-06,2007,06,25.6,17.8,42.3,16.08,18.8,11.66,16.08,22.2,21.4,21.4,26.85
2007-07,2007,07,23,32.4,14.8,16.38,12.5,4.24,16.38,17.75,12.1,12.1,12.75
2007-08,2007,08,31.5,20.2,10.8,16.21,6.3,22.04,16.21,18.95,4.7,4.7,183.45
2007-09,2007,09,17.1,3.9,4.4,17.56,6.3,42.5,17.56,11.7,4.4,4.4,7.25
2007-10,2007,10,0.6,0,0,1.27,0,3.81,1.27,0.3,0,0,31.2
2007-11,2007,11,0,0,0,0.21,0,0.63,0.21,0,4,0,8.1
2007-12,2007,12,0,0,0,1.27,0,3.81,1.27,0,0,0,13.25
2008-01,2008,01,17,7.1,43.2,4,2.9,2,4,0,34.7,34.7,36.3
2008-02,2008,02,2,0,9.1,0,0,0,0,0.75,21.4,21.4,19.2
2008-03,2008,03,16.8,0,5.5,3.33,0,10,3.33,8.25,7.4,7.4,3.7
2008-04,2008,04,47.1,11.1,15.3,69.13,8.3,188,69.19,22.25,39.8,39.8,19.9
2008-05,2008,05,10.9,7.5,5.6,54.23,75.8,79.4,54.23,43.55,3.9,3.9,1.95
2008-06,2008,06,30.7,6.8,8,11.16,15.6,11.1,11.16,23.15,13.4,13.4,11.85
2008-07,2008,07,8.8,11.8,10,28.46,3.5,70.1,28.44,6.15,7.1,7.3,12
2008-08,2008,08,28.3,10.7,43.5,14.2,10.9,21,14.2,19.6,24.8,24.8,11.6
2008-09,2008,09,26.8,10,11.7,11.86,8.3,17.3,11.86,17.55,31.1,31.1,17.2
2008-10,2008,10,13.3,5.6,0,9.9,12.9,11.2,9.9,13.1,16.1,16.1,13.75
2008-11,2008,11,5.8,1.6,6.7,0.73,1,0,0.73,3.2,0,0,2.5
2008-12,2008,12,157.3,23.1,58.5,22.4,31.5,12.6,22.4,94.4,89.5,89.5,70.25
2009-01,2009,01,145,35.6,19.1,30.6,32.2,24.1,30.63,88.6,117.6,117.6,82.8
2009-02,2009,02,94.1,24.8,8.4,14.03,4.7,12.6,14.03,49.4,65,65,57
2009-03,2009,03,58.7,5.6,10.2,6.23,6.1,7,6.23,32.4,21.7,21.7,13.5
2009-04,2009,04,101.5,20.8,19.1,28.23,42.9,21,28.33,72.2,51.2,51.2,40.7
2009-05,2009,05,26.9,17,8.6,14.1,3.1,22.2,14.1,15,0.8,0.8,0.4
2009-06,2009,06,38,13.9,15.4,18.3,21.6,19.4,18.3,29.8,4.3,5.1,8.15
2009-07,2009,07,22.1,5.6,4,4.06,2.5,4.1,4.06,12.3,6.9,6.9,3.95
2009-08,2009,08,9.2,14.3,4.5,9.5,1.4,12.8,9.5,5.3,16.3,16.3,7.5
2009-09,2009,09,9.4,6.4,3.7,11.16,16.8,10.4,11.16,13.1,1.8,1.8,3.55
2009-10,2009,10,5.8,3.8,2.5,3.8,1.2,6.4,3.8,3.5,4.5,4.5,2.25
2009-11,2009,11,7.9,1.3,0.2,0.43,0,0,0.43,3.95,9.1,9.1,3.4
2009-12,2009,12,15.9,6.1,5.2,7.86,8.6,8.9,7.86,12.25,16.1,16.1,19.2
2010-01,2010,01,6.4,0,0.8,0.26,0,0.8,0.26,3.2,11.1,11.1,18.8
2010-02,2010,02,93.8,42.4,31.4,19.36,13.3,2.4,19.36,53.55,124.3,124.3,53.25
2010-03,2010,03,68.2,5.3,8.8,12.48,20.7,11.4,12.46,44.45,76.4,76.4,43.25
2010-04,2010,04,103.1,25.5,15.1,24.93,24.6,24.7,24.93,63.85,104.4,104.4,68.55
2010-05,2010,05,177.6,62,76.9,58.3,60.7,52.2,58.3,119.15,115.3,115.3,66.65
2010-06,2010,06,70.8,19.2,18,18.16,23.2,12.1,18.1,47,5.1,5.1,9.55
2010-07,2010,07,79.3,43.8,51.3,54.93,52.9,68.1,54.93,66.1,24.8,24.8,35.95
2010-08,2010,08,26.2,91.6,45.5,60.5,60.1,29.8,60.5,43.15,29.6,29.6,56.75
2010-09,2010,09,11.2,7.5,2.5,13.3,10.4,22,13.3,10.8,0.6,0.6,12.3
2010-10,2010,10,2.5,1,0.8,2.66,1,6,2.66,1.75,2,2,1
2010-11,2010,11,0,0,0,0,0,0,0,0,0,0,0
2010-12,2010,12,6,0,0,0.36,0.6,0.5,0.36,0.3,1.8,1.8,0
2011-01,2011,01,24.6,11,3.5,7.26,4.7,6.1,7.26,14.65,6.1,6.1,9.5
2011-02,2011,02,127.5,74,48.1,37.43,35.5,2.8,37.43,81.5,60.3,60.3,52.6
2011-03,2011,03,75.4,22.3,38,11.9,10.6,2.8,11.9,43,79.5,79.5,39.75
2011-04,2011,04,41.1,4.3,11.9,8.23,5.8,14.6,8.23,23.45,0,14,13
2011-05,2011,05,19.9,14.9,11.6,18.03,16.6,22.6,18.03,18.25,14.9,14.9,11.7
2011-06,2011,06,15.8,8.8,3.1,14.06,19.8,13.6,14.06,17.8,3,6,5
2011-07,2011,07,40.1,8,8.4,14.23,14.5,20.2,14.23,27.3,8.3,8.3,9.65
2011-08,2011,08,8,5.1,2.5,15.66,11.1,30.8,15.66,9.55,15.6,15.6,12.6
2011-09,2011,09,44.3,50.4,24.2,49.5,32.7,65.4,49.5,38.5,19.5,19.5,18.95
2011-10,2011,10,18.9,9.8,3.8,11.1,4.9,18.6,11.1,11.9,1,1,4
2011-11,2011,11,12.6,0.6,3.2,1.8,0.2,4.6,1.8,6.4,11.4,11.4,5.7
2011-12,2011,12,19,0,6,0.76,2.3,0,0.7,10.65,0.7,0.7,1.35
2012-01,2012,01,21.3,3.5,0.3,1.3,0,0.4,1.3,10.65,6.9,6.9,14.9
2012-02,2012,02,36.4,1.8,8.6,3.33,2.6,5.6,3.33,19.5,50.5,50.5,30.8
2012-03,2012,03,62.1,30.8,40.6,23.9,36.9,4,23.9,49.5,66.5,66.5,57.2
2012-04,2012,04,34.2,20.8,10.8,25.03,11.3,43,25.03,22.75,2,2,7.5
2012-05,2012,05,37.2,1.3,17,12.43,18.4,17.6,12.43,27.8,4,4,20
2012-06,2012,06,29.2,2.6,6.6,7.3,9.3,10,7.3,19.25,4.4,4.4,13.7
2012-07,2012,07,10.2,4.8,0.6,3.3,1.1,4,3.3,5.65,1,1,3.5
2012-08,2012,08,18.2,9.7,16.6,13.93,11.3,20.8,13.93,14.75,10.1,10.1,26.4
